pH,N,P,K,crop
6.9,168,7.7,286.9,Maize
6.2,137.1,7.6,368.3,Maize
6,215.1,6.1,331.7,Maize
6.8,170.1,3.8,282.4,Maize
5.7,202.3,4.4,374,Maize
5.7,131.3,5,285.2,Maize
5.7,173.1,10.6,333.4,Maize
5.9,162.8,6,367.8,Maize
6.1,156,8.9,329.4,Maize
5.6,218.2,8.9,385.6,Maize
6.4,136.4,5.1,321.6,Maize
6.5,168.5,7.8,353.6,Maize
6.4,203.6,3.9,309.1,Maize
6.6,191,6.3,342.3,Maize
6.4,172.9,8,310.7,Maize
6.4,157.6,3.5,324.5,Maize
6.3,156.4,4.2,365.2,Maize
6.9,129.6,10.9,285.6,Maize
6.4,194.1,3.9,373.7,Maize
6,139.8,7.2,350.4,Maize
6.7,150.6,11.6,321.2,Maize
6.7,171,9.2,384.3,Maize
6.3,169.8,9.2,381.8,Maize
6.6,202.3,10.2,370.3,Maize
6.2,206.1,9.8,289.9,Maize
5.6,140.4,4,346.2,Maize
6.6,140.3,9.5,299.6,Maize
6.2,212.3,5,379.9,Maize
6.7,206.9,7.6,280,Maize
6,145.3,3.5,342.9,Maize
6.4,156.3,4.7,356.1,Maize
6.1,168.5,5.8,299.4,Maize
6.9,167.5,6.4,386.6,Maize
6.8,125.9,9.8,276.6,Maize
5.7,203.6,9.1,312.6,Maize
6.6,179.6,5.6,276.7,Maize
6.5,141.4,9.5,345,Maize
6.1,181.1,10,301.7,Maize
5.5,197.9,8.7,389.6,Maize
6,181.8,11.1,280.8,Maize
5.8,165.6,8.9,309.1,Maize
6.1,214.9,5.2,305.4,Maize
5.6,160.2,5.2,283.9,Maize
6,158.6,8,329.4,Maize
6,166.6,10.8,308.5,Maize
5.5,149.4,6.6,379.6,Maize
5.8,176.6,9.6,315.1,Maize
6.1,187.3,4.3,305.1,Maize
6.5,152.3,8.6,336.3,Maize
5.9,210.4,11.5,363.8,Maize
6.2,217,8.2,388,Maize
5.9,137.2,11.2,367.6,Maize
6.3,212.3,8.5,367.8,Maize
6.6,179.2,10.1,364.5,Maize
6.9,153.3,9.4,351.1,Maize
6.8,158.4,9.5,382.8,Maize
6,144.2,6.2,333.7,Maize
6.7,170.1,7,373.3,Maize
5.9,144.6,9.7,370.7,Maize
6.2,133,6.6,331.9,Maize
6.4,174.6,6.1,327.4,Maize
6.2,204.1,9.1,337.9,Maize
5.9,208.9,3.6,297,Maize
6.4,139.8,6.9,369.6,Maize
5.7,152,8,339.7,Maize
5.9,182.6,8.5,340.1,Maize
6.7,149.4,5.1,312.4,Maize
5.9,147.5,9.6,375.8,Maize
5.8,215.6,5.9,378.1,Maize
6.7,173.6,11.1,359.5,Maize
6.4,210.1,8.1,276.8,Maize
5.9,145.1,3.8,345.5,Maize
6.9,192,10.7,382.4,Maize
6.8,125.9,3.9,335.1,Maize
6.6,213.7,7,354.4,Maize
5.7,199.5,7.2,288.5,Maize
6.7,186.3,10.8,363,Maize
5.8,157.2,7.8,279.9,Maize
5.5,218.8,7.4,364.3,Maize
6.6,125.2,5.7,378.1,Maize
6.9,193.7,8.2,372.2,Maize
6.1,171.2,7.2,281.3,Maize
